"","ID","Country","AQI_Index","Fine_Particles","Coarse_Particles","Ozone","Nitrogen_Dioxide","Sulphur_Dioxide","Carbon_Monoxide","Temp_Celsius","Wind_Kmph","Humidity_Percent","Temp_Fahrenheit","DewPoint_Index","Heat_Index","AQI_Category","Heat_Category","Wind_Category","DewPoint_Category"
"70",70,"Lisbon, Portugal",47,7.8,20,54,61,2,407,17,7.3,62,62.6,9.4,15.2,"Good","Safe","Light Breeze","Dry"
"71",71,"Kraków, Poland",47,8.9,11.4,7.1,1.9,0,0,9,24,54,48.2,-0.199999999999999,7.6,"Good","Safe","Moderate Breeze","Very Dry"
"72",72,"Kuala Lumpur, Malaysia",44,10,0,0,0,0,0,34,9.4,63,93.2,26.6,31.1,"Good","Caution","Light Breeze","Oppresive"
"73",73,"Ho Chi Minh City, Vietnam",44,12,0,0,0,0,0,36,14.5,62,96.8,28.4,33,"Good","Extreme Caution","Gentle Breeze","Oppresive"
"74",74,"Canberra, Australia",43,8,14.7,24,0,0,0,14,9.6,59,57.2,5.8,12.4,"Good","Safe","Light Breeze","Dry"
"75",75,"Sofia, Bulgaria",43,10.5,11.5,44.8,10.9,6,0.3,10,21.1,66,50,3.2,8.6,"Good","Safe","Moderate Breeze","Very Dry"
"76",76,"Toronto, Canada",42,7.3,84,16.5,0.5,332.1,0,15,1.6,82,59,11.4,13.4,"Good","Safe","Calm","Comfortable"
"77",77,"Amsterdam, Netherlands",41,7.4,60.6,10.4,0.4,0.3,0,12,15.2,81,53.6,8.2,10.5,"Good","Safe","Gentle Breeze","Dry"
"78",78,"Kyiv, Ukraine",41,6.2,0,0,0,0,0,9,5.9,96,48.2,8.2,7.7,"Good","Safe","Light Breeze","Dry"
"79",79,"Shenzhen, China",39,7,14.5,63,7.5,7,500,28,18.1,68,82.4,21.6,25.5,"Good","Safe","Gentle Breeze","Muggy"
"80",80,"Sarajevo, Bosnia Herzegovina",39,7.3,8.5,36,8.5,3.5,185,8,6.2,82,46.4,4.4,6.7,"Good","Safe","Light Breeze","Dry"
